,Abbreviation,Description,Reaction
0,DM_4crsol_c,Sink needed to allow p-Cresol to leave system,4crsol_c <==> 
1,DM_aacald_c,Sink needed to allow aminoacetaldehyde to leave system,aacald_c <==> 
2,DM_amob_c,Sink needed to allow S-Adenosyl-4-methylthio-2-oxobutanoate to leave system,amob_c <==> 
3,BIOMASS_Ec_iJO1366_core_53p95M,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate,0.000223 10fthf_c + 2.6e-05 2fe2s_c + 0.000223 2ohph_c + 0.00026 4fe4s_c + 0.513689 ala__L_c + 0.000223 amet_c + 0.295792 arg__L_c + 0.241055 asn__L_c + 0.241055 asp__L_c + 54.124831 atp_c + 0.000122 bmocogdp_c + 2e-06 btn_c + 0.005205 ca2_c + 0.005205 cl_c + 0.000576 coa_c + 2.5e-05 cobalt2_c + 0.133508 ctp_c + 0.000709 cu2_c + 0.09158 cys__L_c + 0.026166 datp_c + 0.027017 dctp_c + 0.027017 dgtp_c + 0.026166 dttp_c + 0.000223 fad_c + 0.006715 fe2_c + 0.007808 fe3_c + 0.26316 gln__L_c + 0.26316 glu__L_c + 0.612638 gly_c + 0.215096 gtp_c + 48.601527 h2o_c + 0.094738 his__L_c + 0.290529 ile__L_c + 0.195193 k_c + 0.450531 leu__L_c + 0.343161 lys__L_c + 0.153686 met__L_c + 0.008675 mg2_c + 0.000223 mlthf_c + 0.000691 mn2_c + 7e-06 mobd_c + 0.001831 nad_c + 0.000447 nadp_c + 0.013013 nh4_c + 0.000323 ni2_c + 0.017868 pe160_c + 0.054154 pe161_c + 0.185265 phe__L_c + 0.000223 pheme_c + 0.221055 pro__L_c + 0.000223 pydx5p_c + 0.000223 ribflv_c + 0.215792 ser__L_c + 0.000223 sheme_c + 0.004338 so4_c + 0.000223 thf_c + 0.000223 thmpp_c + 0.253687 thr__L_c + 0.056843 trp__L_c + 0.137896 tyr__L_c + 5.5e-05 udcpdp_c + 0.144104 utp_c + 0.423162 val__L_c + 0.000341 zn2_c + 0.019456 kdo2lipid4_e + 0.013894 murein5px4p_p + 0.045946 pe160_p + 0.02106 pe161_p <==> 53.95 adp_c + 53.95 h_c + 53.945662 pi_c + 0.773903 ppi_c
4,EX_12ppd__S_e,"(S)-Propane-1,2-diol exchange",12ppd__S_e <==> 
5,EX_15dap_e,"1,5-Diaminopentane exchange",15dap_e <==> 
6,EX_23dappa_e,"2,3-diaminopropionate exchange",23dappa_e <==> 
7,EX_26dap__M_e,"Meso-2,6-Diaminoheptanedioate exchange",26dap__M_e <==> 
8,EX_34dhpac_e,"3,4-Dihydroxyphenylacetaldehyde exchange",34dhpac_e <==> 
9,EX_3amp_e,3'-AMP exchange,3amp_e <==> 
10,EX_3gmp_e,3'-GMP exchange,3gmp_e <==> 
11,EX_3hcinnm_e,3-hydroxycinnamic acid exchange,3hcinnm_e <==> 
12,EX_3hpp_e,3-Hydroxypropanoate exchange,3hpp_e <==> 
13,EX_3ump_e,3'-UMP exchange,3ump_e <==> 
14,EX_5dglcn_e,5-Dehydro-D-gluconate exchange,5dglcn_e <==> 
15,EX_LalaDglu_e,L-alanine-D-glutamate exchange,LalaDglu_e <==> 
16,EX_LalaDgluMdap_e,"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate exchange",LalaDgluMdap_e <==> 
17,EX_acgal_e,N-Acetyl-D-galactosamine exchange,acgal_e <==> 
18,EX_acgal1p_e,N-Acetyl-D-galactosamine 1-phosphate exchange,acgal1p_e <==> 
19,EX_acgam_e,N-Acetyl-D-glucosamine exchange,acgam_e <==> 
20,EX_acmana_e,N-Acetyl-D-mannosamine exchange,acmana_e <==> 
21,EX_ade_e,Adenine exchange,ade_e <==> 
22,EX_adn_e,Adenosine exchange,adn_e <==> 
23,EX_ag_e,Silver exchange,ag_e <==> 
24,EX_agm_e,Agmatine exchange,agm_e <==> 
25,EX_ala_B_e,Beta-Alanine exchange,ala_B_e <==> 
26,EX_alaala_e,D-Alanyl-D-alanine exchange,alaala_e <==> 
27,EX_all__D_e,D-Allose exchange,all__D_e <==> 
28,EX_amp_e,AMP exchange,amp_e <==> 
29,EX_anhgm_e,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid exchange,anhgm_e <==> 
30,EX_arab__L_e,L-Arabinose exchange,arab__L_e <==> 
31,EX_arbt_e,Arbutin exchange,arbt_e <==> 
32,EX_arbtn_e,Aerobactin minus Fe3 exchange,arbtn_e <==> 
33,EX_arbtn_fe3_e,Aerobactin exchange,arbtn_fe3_e <==> 
34,EX_ascb__L_e,L-Ascorbate exchange,ascb__L_e <==> 
35,EX_asn__L_e,L-Asparagine exchange,asn__L_e <==> 
36,EX_aso3_e,Arsenite exchange,aso3_e <==> 
37,EX_asp__L_e,L-Aspartate exchange,asp__L_e <==> 
38,EX_btn_e,Biotin exchange,btn_e <==> 
39,EX_ca2_e,Calcium exchange,ca2_e <==> 
40,EX_chtbs_e,Chitobiose exchange,chtbs_e <==> 
41,EX_cl_e,Chloride exchange,cl_e <==> 
42,EX_cmp_e,CMP exchange,cmp_e <==> 
43,EX_co2_e,CO2 exchange,co2_e <==> 
44,EX_colipa_e,Core oligosaccharide lipid A exchange,colipa_e <==> 
45,EX_cpgn_e,Coprogen exchange,cpgn_e <==> 
46,EX_cpgn_un_e,Coprogen unloaded (no Fe(III)) exchange,cpgn_un_e <==> 
47,EX_crn__D_e,D-carnitine exchange,crn__D_e <==> 
48,EX_cu_e,Cu+ exchange,cu_e <==> 
49,EX_cu2_e,Cu2+ exchange,cu2_e <==> 
50,EX_cyan_e,Hydrogen cyanide exchange,cyan_e <==> 
51,EX_cys__D_e,D-Cysteine exchange,cys__D_e <==> 
52,EX_cys__L_e,L-Cysteine exchange,cys__L_e <==> 
53,EX_cytd_e,Cytidine exchange,cytd_e <==> 
54,EX_dad_2_e,Deoxyadenosine exchange,dad_2_e <==> 
55,EX_damp_e,DAMP exchange,damp_e <==> 
56,EX_ddca_e,Dodecanoate (n-C12:0) exchange,ddca_e <==> 
57,EX_dgsn_e,Deoxyguanosine exchange,dgsn_e <==> 
58,EX_dha_e,Dihydroxyacetone exchange,dha_e <==> 
59,EX_din_e,Deoxyinosine exchange,din_e <==> 
60,EX_dmso_e,Dimethyl sulfoxide exchange,dmso_e <==> 
61,EX_doxrbcn_e,Doxorubicin exchange,doxrbcn_e <==> 
62,EX_dump_e,DUMP exchange,dump_e <==> 
63,EX_enlipa_e,Phosphoethanolamine KDO(2)-lipid (A) exchange,enlipa_e <==> 
64,EX_enter_e,Enterochelin exchange,enter_e <==> 
65,EX_ethso3_e,Ethanesulfonate exchange,ethso3_e <==> 
66,EX_fald_e,Formaldehyde exchange,fald_e <==> 
67,EX_fe2_e,Fe2+ exchange,fe2_e <==> 
68,EX_fe3_e,Fe3+ exchange,fe3_e <==> 
69,EX_fe3dcit_e,Fe(III)dicitrate exchange,fe3dcit_e <==> 
70,EX_fe3hox_e,Fe(III)hydroxamate exchange,fe3hox_e <==> 
71,EX_fecrm_e,Ferrichrome exchange,fecrm_e <==> 
72,EX_fecrm_un_e,Ferrichrome minus Fe(III) exchange,fecrm_un_e <==> 
73,EX_feenter_e,Fe-enterobactin exchange,feenter_e <==> 
74,EX_frulys_e,Fructoselysine exchange,frulys_e <==> 
75,EX_g3pc_e,Sn-Glycero-3-phosphocholine exchange,g3pc_e <==> 
76,EX_g3ps_e,Glycerophosphoserine exchange,g3ps_e <==> 
77,EX_g6p_e,D-Glucose 6-phosphate exchange,g6p_e <==> 
78,EX_gal_e,D-Galactose exchange,gal_e <==> 
79,EX_gal_bD_e,Beta D-Galactose exchange,gal_bD_e <==> 
80,EX_gal1p_e,Alpha-D-Galactose 1-phosphate exchange,gal1p_e <==> 
81,EX_galct__D_e,D-Galactarate exchange,galct__D_e <==> 
82,EX_galctn__L_e,L-Galactonate exchange,galctn__L_e <==> 
83,EX_gam_e,D-Glucosamine exchange,gam_e <==> 
84,EX_gam6p_e,D-Glucosamine 6-phosphate exchange,gam6p_e <==> 
85,EX_gbbtn_e,Gamma-butyrobetaine exchange,gbbtn_e <==> 
86,EX_gdp_e,GDP exchange,gdp_e <==> 
87,EX_glcr_e,D-Glucarate exchange,glcr_e <==> 
88,EX_glyald_e,D-Glyceraldehyde exchange,glyald_e <==> 
89,EX_glyc__R_e,(R)-Glycerate exchange,glyc__R_e <==> 
90,EX_glyc3p_e,Glycerol 3-phosphate exchange,glyc3p_e <==> 
91,EX_gmp_e,GMP exchange,gmp_e <==> 
92,EX_gsn_e,Guanosine exchange,gsn_e <==> 
93,EX_gthox_e,Oxidized glutathione exchange,gthox_e <==> 
94,EX_gua_e,Guanine exchange,gua_e <==> 
95,EX_h2_e,H2 exchange,h2_e <==> 
96,EX_h2o2_e,Hydrogen peroxide exchange,h2o2_e <==> 
97,EX_hacolipa_e,Hepta-acylated core oligosaccharide lipid A (E. coli) exchange,hacolipa_e <==> 
98,EX_halipa_e,Hepta-acylated KDO(2)-lipid (A) exchange,halipa_e <==> 
