"Abbreviation"	"Description"	"Formula"
"C00001[c]"	"H2O"	"H2O"
"C00002[c]"	"ATP"	"C10H16N5O13P3"
"C00003[c]"	"NAD+"	"C21H28N7O14P2"
"C00004[c]"	"NADH"	"C21H29N7O14P2"
"C00005[c]"	"NADPH"	"C21H30N7O17P3"
"C00006[c]"	"NADP+"	"C21H29N7O17P3"
"C00007[c]"	"Oxygen"	"O2"
"C00008[c]"	"ADP"	"C10H15N5O10P2"
"C00009[c]"	"Orthophosphate"	"H3PO4"
"C00010[c]"	"CoA"	"C21H36N7O16P3S"
"C00011[c]"	"CO2"	"CO2"
"C00012[c]"	"Peptide"	"C2H4NO2R(C2H2NOR)n"
"C00013[c]"	"Diphosphate"	"H4P2O7"
"C00014[c]"	"Ammonia"	"NH3"
"C00015[c]"	"UDP"	"C9H14N2O12P2"
"C00016[c]"	"FAD"	"C27H33N9O15P2"
"C00017[c]"	"Protein"	"C2H4NO2R(C2H2NOR)n"
"C00018[c]"	"Pyridoxal phosphate"	"C8H10NO6P"
"C00019[c]"	"S-Adenosyl-L-methionine"	"C15H22N6O5S"
"C00020[c]"	"AMP"	"C10H14N5O7P"
"C00021[c]"	"S-Adenosyl-L-homocysteine"	"C14H20N6O5S"
"C00022[c]"	"Pyruvate"	"C3H4O3"
"C00024[c]"	"Acetyl-CoA"	"C23H38N7O17P3S"
"C00025[c]"	"L-Glutamate"	"C5H9NO4"
"C00026[c]"	"2-Oxoglutarate"	"C5H6O5"
"C00027[c]"	"Hydrogen peroxide"	"H2O2"
"C00028[c]"	"Acceptor"	"X"
"C00029[c]"	"UDP-glucose"	"C15H24N2O17P2"
"C00030[c]"	"Reduced acceptor"	"X"
"C00031[c]"	"D-Glucose"	"C6H12O6"
"C00032[c]"	"Heme"	"C34H32FeN4O4"
"C00033[c]"	"Acetate"	"C2H4O2"
"C00035[c]"	"GDP"	"C10H15N5O11P2"
"C00036[c]"	"Oxaloacetate"	"C4H4O5"
"C00037[c]"	"Glycine"	"C2H5NO2"
"C00039[c]"	"DNA"	"C10H17O8PR2(C5H8O5PR)n"
"C00040[c]"	"Acyl-CoA"	"C22H35N7O17P3SR"
"C00041[c]"	"L-Alanine"	"C3H7NO2"
"C00042[c]"	"Succinate"	"C4H6O4"
"C00043[c]"	"UDP-N-acetyl-alpha-D-glucosamine"	"C17H27N3O17P2"
"C00044[c]"	"GTP"	"C10H16N5O14P3"
"C00045[c]"	"Amino acid"	"C2H4NO2R"
"C00046[c]"	"RNA"	"C10H18O13P2R2(C5H8O6PR)n"
"C00047[c]"	"L-Lysine"	"C6H14N2O2"
"C00048[c]"	"Glyoxylate"	"C2H2O3"
"C00049[c]"	"L-Aspartate"	"C4H7NO4"
