"Abbreviation"	"Reaction"	"Description"
"R09772"	"C19880[c] + C00044[c] <=> C19881[c] + C00013[c]"	"GTP:D-glycero-alpha-D-manno-heptose 1-phosphate guanylyltransferase"
"R11796"	"C00053[c] + C21669[c] <=> C00054[c] + C21671[c]"	"3'-phosphoadenylyl-sulfate:12-hydroxyjasmonate sulfotransferase"
"R05338"	"C00199[c] + C00067[c] <=> C06019[c]"	"D-arabino-hex-3-ulose-6-phosphate formaldehyde-lyase (D-ribulose-5-phosphate-forming)"
"R03053"	"C01933[c] + C00026[c] <=> C00902[c] + C00025[c]"	"L-2-aminohexanoate:2-oxoglutarate aminotransferase"
"R06827"	"C03515[c] + C00167[c] <=> C12632[c] + C00015[c]"	"UDP-glucuronate:luteolin-7-O-beta-D-glucuronide 2''-O-glucuronosyltransferase"
"R06738"	"C00745[c] <=> C06524[c]"	"X"
"R08439"	"C21635[c] <=> C12162[c]"	"X"
"R09651"	"C19784[c] + C00001[c] <=> C19702[c] + C00033[c]"	"1-O-(2-acetamido-2-deoxy-alpha-D-glucopyranosyl)-1D-myo-inositol acetylhydrolase"
"R10720"	"2 C12115[c] + C06809[c] + 2 C00007[c] <=> C20799[c] + 4 C00001[c] + C00011[c]"	"3-amino-4-hydroxybenzoate:N-acetyl-L-cysteine:oxygen oxidoreductase"
"R04703"	"C05191[c] + C00007[c] + C00080[c] <=> C06162[c] + C00027[c]"	"dihydrosanguinarine:oxygen oxidoreductase"
"R07725"	"C10208[c] <=> C10200[c]"	"X"
"R11516"	"C21430[c] + 8 C00083[c] <=> C12441[c] + 8 C00011[c] + 8 C00010[c]"	"malonyl-CoA:malonamoyl-[acyl-carrier protein] malonyltransferase"
"R12736"	"C00223[c] + C22371[c] <=> C08472[c] + C00010[c]"	"hydroxycinnamoyl-CoA:5-hydroxyanthranilate N-hydroxycinnamoyltransferase"
"R03896"	"C02612[c] <=> C02226[c] + C00001[c]"	"(R)-2-methylmalate hydro-lyase (2-methylmaleate-forming)"
"R07969"	"C16358[c] + C00004[c] + C00080[c] + C00007[c] <=> C00385[c] + C00003[c] + C00067[c] + C00001[c]"	"1-methylxanthine:oxygen oxidoreductase (N1-demethylating)"
"R06080"	"G01318[c] + C00001[c] <=> C00267[c] + C00031[c]"	"X"
"R09792"	"C00019[c] + C19896[c] <=> C00021[c] + C19895[c]"	"S-adenosyl-L-methionine:flavonoid 4'-O-methyltransferase"
"R13288"	"C22890[c] <=> C00633[c] + C00033[c]"	"X"
"R05845"	"C11678[c] + C00080[c] <=> C11679[c] + C00001[c]"	"X"
"R04342"	"C12208[c] + C03024[c] + C00007[c] <=> C00852[c] + C03161[c] + C00001[c]"	"trans-5-O-(4-coumaroyl)-D-quinate,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (3'-hydroxylating)"
"R01860"	"C00568[c] <=> C00292[c] + C00011[c]"	"4-aminobenzoate carboxy-lyase"
"R11290"	"C17701[c] + C00003[c] <=> C21265[c] + C00004[c] + C00080[c]"	"gentamicin-A2:NAD+ 3''-oxidoreductase"
"R04447"	"C04282[c] <=> C05942[c] + C00001[c]"	"X"
"R06747"	"C12470[c] + 2 C04253[c] <=> C12483[c] + 2 C04570[c]"	"L-prolyl-[peptidyl-carrier protein]:electron-transfer flavoprotein oxidoreductase"
"R07598"	"C00047[c] + C00007[c] + C00001[c] <=> C04076[c] + C00027[c] + C00014[c]"	"L-lysine:oxygen 6-oxidoreductase (deaminating)"
"R12004"	"C21837[c] <=> C21838[c]"	"3-geranyl-3-[(Z)-2-isocyanoethenyl]-1H-indole cyclase (hapalindole H-forming)"
"R00688"	"C00079[c] + C00001[c] + C00003[c] <=> C00166[c] + C00014[c] + C00004[c] + C00080[c]"	"L-phenylalanine:NAD+ oxidoreductase (deaminating)"
"R01917"	"C00002[c] + C00051[c] + C00315[c] <=> C00008[c] + C00009[c] + C05730[c]"	"gamma-L-glutamyl-L-cysteinyl-glycine:spermidine ligase (ADP-forming)"
"R07729"	"C00858[c] + C00029[c] <=> C10509[c] + C00015[c]"	"UDP-glucose:isoflavone 7-O-beta-D-glucosyltransferase"
"R01298"	"C00156[c] + C00007[c] + C00005[c] + C00080[c] <=> C00230[c] + C00006[c] + C00001[c]"	"4-hydroxybenzoate,NADPH:oxygen oxidoreductase (3-hydroxylating)"
"R01011"	"C00002[c] + C00184[c] <=> C00008[c] + C00111[c]"	"ATP:glycerone phosphotransferase"
"R12061"	"C21880[c] <=> C21861[c] + C21878[c]"	"X"
"R01786"	"C00002[c] + C00267[c] <=> C00008[c] + C00668[c]"	"ATP:alpha-D-glucose 6-phosphotransferase"
"R10577"	"C01595[c] + C00007[c] <=> C20703[c]"	"linoleate:oxygen (10S)-oxidoreductase"
